Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
creditcard-1-84,2023-01-24,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,,1.92
creditcard-1-85,2023-01-25,600201,Gas - AUTOMATED FUEL DISPENSERS,AUTOMATED FUEL DISPENSERS: WAL-MART #5837 ROGERS,66.16,
creditcard-1-86,2023-01-25,200101,EdwardJones MasterCard,AUTOMATED FUEL DISPENSERS: WAL-MART #5837 ROGERS,,66.16
creditcard-1-87,2023-01-25,600401,Internet,CABLE AND OTHER PAY TELEVISION SERVICES: ATT*BILL PAYMENT 800-288-2,65.95,
creditcard-1-88,2023-01-25,200101,EdwardJones MasterCard,CABLE AND OTHER PAY TELEVISION SERVICES: ATT*BILL PAYMENT 800-288-2,,65.95
creditcard-1-89,2023-01-26,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,10.39,
creditcard-1-90,2023-01-26,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,10.39
creditcard-1-91,2023-01-27,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,14.78,
creditcard-1-92,2023-01-27,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,14.78
creditcard-1-93,2023-01-27,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,1.92,
creditcard-1-94,2023-01-27,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,,1.92
creditcard-1-95,2023-01-27,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,9.4,
creditcard-1-96,2023-01-27,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,,9.4
creditcard-1-97,2023-01-27,600503,Grocery,GROCERY STORES OR SUPERMARKETS: WAL-MART #5260 ROGERS,10.95,
creditcard-1-98,2023-01-27,200101,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WAL-MART #5260 ROGERS,,10.95
creditcard-1-99,2023-01-30,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,10.39,
creditcard-1-100,2023-01-30,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,10.39
creditcard-1-101,2023-01-30,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,9.3,
creditcard-1-102,2023-01-30,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,9.3
creditcard-1-103,2023-01-30,600601,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,73.75,
creditcard-1-104,2023-01-30,200101,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,73.75
creditcard-1-105,2023-01-30,600502,Food - Restaurants,RESTAURANTS OR EATING PLACES: WALK ONS BISTREAUX & B ROGERS,17.0,
creditcard-1-106,2023-01-30,200101,EdwardJones MasterCard,RESTAURANTS OR EATING PLACES: WALK ONS BISTREAUX & B ROGERS,,17.0
creditcard-1-107,2023-01-30,600501,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: WHATABURGER 1089 ROGERS,11.38,
creditcard-1-108,2023-01-30,200101,EdwardJones MasterCard,FAST FOOD RESTAURANTS: WHATABURGER 1089 ROGERS,,11.38
creditcard-1-109,2023-01-30,600503,Grocery,GROCERY STORES OR SUPERMARKETS: WM SUPERCENTER #5837 479-254-1,34.94,
creditcard-1-110,2023-01-30,200101,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WM SUPERCENTER #5837 479-254-1,,34.94
creditcard-1-111,2023-01-31,600604,Entertainment - digital goods: games,DIGITAL GOODS: GAMES: STEAM PURCHASE 425-95229,3.24,
creditcard-1-112,2023-01-31,200101,EdwardJones MasterCard,DIGITAL GOODS: GAMES: STEAM PURCHASE 425-95229,,3.24
