Transaction_ID,Date,GL_Code,Account,Description,DEBIT,CREDIT
creditcard-2-220,2023-02-21,200101.0,EdwardJones MasterCard,RESTAURANTS OR EATING PLACES: C.B. MUSEUM CULINARY BENTONVIL,,17.79
creditcard-2-221,2023-02-21,600502.0,Food - Restaurants,RESTAURANTS OR EATING PLACES: WOOD STONE CRAFT PIZZA FAYETTEVI,35.0,
creditcard-2-222,2023-02-21,200101.0,EdwardJones MasterCard,RESTAURANTS OR EATING PLACES: WOOD STONE CRAFT PIZZA FAYETTEVI,,35.0
creditcard-2-223,2023-02-22,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,10.59,
creditcard-2-224,2023-02-22,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,,10.59
creditcard-2-225,2023-02-23,600503.0,Grocery,GROCERY STORES OR SUPERMARKETS: WAL-MART #5837 ROGERS,129.71,
creditcard-2-226,2023-02-23,200101.0,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WAL-MART #5837 ROGERS,,129.71
creditcard-2-227,2023-02-23,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: PANERA BREAD #606200 O 855-372-6,23.21,
creditcard-2-228,2023-02-23,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: PANERA BREAD #606200 O 855-372-6,,23.21
creditcard-2-229,2023-02-23,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: FUZZYS TACO SHOP - ROG ROGERS,11.0,
creditcard-2-230,2023-02-23,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: FUZZYS TACO SHOP - ROG ROGERS,,11.0
creditcard-2-231,2023-02-23,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,16.62,
creditcard-2-232,2023-02-23,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,16.62
creditcard-2-233,2023-02-24,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,10.59,
creditcard-2-234,2023-02-24,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET 831-20198,,10.59
creditcard-2-235,2023-02-24,600401.0,Internet,CABLE AND OTHER PAY TELEVISION SERVICES: ATT*BILL PAYMENT 800-288-2,65.95,
creditcard-2-236,2023-02-24,200101.0,EdwardJones MasterCard,CABLE AND OTHER PAY TELEVISION SERVICES: ATT*BILL PAYMENT 800-288-2,,65.95
creditcard-2-237,2023-02-27,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: WHATABURGER 1089 ROGERS,11.82,
creditcard-2-238,2023-02-27,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: WHATABURGER 1089 ROGERS,,11.82
creditcard-2-239,2023-02-27,600503.0,Grocery,GROCERY STORES OR SUPERMARKETS: WAL-MART #5260 ROGERS,27.54,
creditcard-2-240,2023-02-27,200101.0,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WAL-MART #5260 ROGERS,,27.54
creditcard-2-241,2023-02-27,600503.0,Grocery,GROCERY STORES OR SUPERMARKETS: WAL-MART #5260 ROGERS,44.26,
creditcard-2-242,2023-02-27,200101.0,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WAL-MART #5260 ROGERS,,44.26
creditcard-2-243,2023-02-27,600601.0,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,7.65,
creditcard-2-244,2023-02-27,200101.0,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,7.65
creditcard-2-245,2023-02-27,600601.0,"Hobbies - hobby, toy or games stores",MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,37.09,
creditcard-2-246,2023-02-27,200101.0,EdwardJones MasterCard,MISCELLANEOUS & SPECIALTY STORES: TCGPLAYER.COM 315501047,,37.09
creditcard-2-247,2023-02-27,600202.0,Gas - GAS/SERVICE STATIONS WITH/WITHOUT ANCILLARY SERVICES,GAS/SERVICE STATIONS WITH/WITHOUT ANCILLARY SERVICES: PHILLIPS 66 - FAMILY S SPRINGDAL,3.5,
creditcard-2-248,2023-02-27,200101.0,EdwardJones MasterCard,GAS/SERVICE STATIONS WITH/WITHOUT ANCILLARY SERVICES: PHILLIPS 66 - FAMILY S SPRINGDAL,,3.5
creditcard-2-249,2023-02-27,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,10.76,
creditcard-2-250,2023-02-27,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: CHICK-FIL-A #03901 ROGERS,,10.76
creditcard-2-251,2023-02-27,600501.0,Food - Fast Food Restaurants,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,10.59,
creditcard-2-252,2023-02-27,200101.0,EdwardJones MasterCard,FAST FOOD RESTAURANTS: AMK WALMART J STREET BENTONVIL,,10.59
creditcard-2-253,2023-02-27,600503.0,Grocery,GROCERY STORES OR SUPERMARKETS: WM SUPERCENTER #5837 479-254-1,10.02,
creditcard-2-254,2023-02-27,200101.0,EdwardJones MasterCard,GROCERY STORES OR SUPERMARKETS: WM SUPERCENTER #5837 479-254-1,,10.02
paystub-2-29,2023-02-02,100101.0,Free Checking Bank OZK,Cash from paystub,1711.2099999999998,
paystub-2-30,2023-02-02,100202.0,Associate Stock Purchase Plan - Computer Share,STOCK PURCH,70.0,
paystub-2-31,2023-02-02,100202.0,Associate Stock Purchase Plan - Computer Share,CO STK CONT,10.5,
paystub-2-32,2023-02-02,100305.0,Walmart Roth 401k - Merrill ,ROTH 401K,274.62,
paystub-2-33,2023-02-02,100304.0,Health Savings Account Investment,HSA CONTR *,50.0,
paystub-2-34,2023-02-02,500201.0,Federal Income Tax,FEDERAL TAX,287.26,
paystub-2-35,2023-02-02,500202.0,Social Security Tax,SOCIAL SECURITY,164.85,
paystub-2-36,2023-02-02,500203.0,Medicare Tax,MEDICARE,38.56,
paystub-2-37,2023-02-02,500204.0,State Income Tax,ARKANSAS,101.8,
paystub-2-38,2023-02-02,500101.0,Medical Insurance,INS MED U *,36.8,
paystub-2-39,2023-02-02,500102.0,Dental Insurance,INS DEN U *,8.3,
paystub-2-40,2023-02-02,500103.0,Vision Insurance,INS VIS *,2.76,
paystub-2-41,2023-02-02,400101.0,Regular Earnings - Walmart Salary,REGULAR,,2746.16
paystub-2-42,2023-02-02,400103.0,Walmart Stock Match,CO STK,,10.5
paystub-2-43,2023-02-16,100101.0,Free Checking Bank OZK,Cash from paystub,1711.2299999999998,
paystub-2-44,2023-02-16,100202.0,Associate Stock Purchase Plan - Computer Share,STOCK PURCH,70.0,
paystub-2-45,2023-02-16,100202.0,Associate Stock Purchase Plan - Computer Share,CO STK CONT,10.5,
paystub-2-46,2023-02-16,100305.0,Walmart Roth 401k - Merrill ,ROTH 401K,274.62,
