MCC,Description
3545,SHANGRI-LA INTERNATIONAL
3546,SIERRA SUITES HOTELS
3547,BREAKERS RESORT
3548,HOTELS MELIA
3549,AUBERGE DES GOVERNEURS
3550,REGAL 8 INNS
3551,MIRAGE HOTEL AND CASINO
3552,COAST HOTELS
3553,PARK INNS INTERNATIONAL
3554,PINEHURST RESORT
3555,TREASURE ISLAND HOTEL AND CASINO
3556,BARTON CREEK RESORT
3557,MANHATTEN EAST SUITE HOTELS
3558,JOLLY HOTELS
3559,CANDLEWOOD SUITES - THISTLE HOTELS
3560,ALADDIN RESORT AND CASINO
3561,GOLDEN NUGGET
3562,COMFORT INNS
3563,JOURNEY'S END MOTELS
3564,SAM'S TOWN HOTEL AND CASINO
3565,RELAX INNS
3566,GARDEN PLACE HOTEL
3567,SOHO GRAND HOTEL
3568,LADBROKE HOTELS
3569,TRIBECA GRAND HOTEL
3570,FORUM HOTELS
3571,GRAND WAILEA RESORT
3572,MIYAKO HOTELS
3573,SANDMAN HOTELS
3574,VENTURE INNS
3575,VAGABOND HOTELS
3576,LA QUINTA REOSRT
3577,MANDARIN ORIENTAL HOTEL
3578,FRANKENMUTH BAVARIAN
3579,HOTEL MERCURE
3580,HOTEL DEL CORONADO
3581,DELTA HOTEL
3582,CALIFORNIA HOTEL AND CASINO
3583,SAS HOTELS
3584,PRINCESS HOTELS INTERNATIONAL
3585,HUNGAR HOTELS
3586,SOKOS HOTELS
3587,DORAL HOTELS
3588,HELMSLEY HOTELS
3589,DORAL GOLF RESORT
3590,FAIRMONT HOTELS
3591,SONESTA HOTELS
3592,OMNI HOTELS
3593,CUNARD HOTELS
3594,ARIZONA BILTMORE
3595,HOSPITALITY INNS
3596,WYNN LAS VEGAS
3597,RIVERSIDE RESORT AND CASINO
3598,REGENT INTERNATIONAL HOTELS
3599,PANNONIA HOTELS
3600,SADDLEBROOK RESORT
3601,TRADE WINDS RESORT
3602,HUDSON HOTEL
3603,NOAH'S HOTELS
3604,HILTON GARDEN RESORT/INN
3605,JURYS DYLE HOTEL GROUP
3606,JEFFERSON HOTEL
3607,FONTAINEBLEAU RESORTS
3608,GAYLORD OPRYLAND
3609,GAYLORD PALMS
3610,GAYLORD TEXAN
3611,C MON INN
3612,MOVENPICK HOTELS
3613,MICROTEL INN AND SUITES
3614,AMERICINN
3615,TRAVELODGE
3616,HERMITAGE HOTEL
3617,AMERICAS BEST VALUE INN
3618,GREAT WOLF
3619,ALOFT
3620,BINIONS HORSESHOE CLUB
3621,EXTENDED STAY
3622,MERLIN HOTELS
3623,DORINT HOTELS
3624,LADY LUCK HOTEL AND CASINO
3625,HOTEL UNIVERSALE
3626,STUDIO PLUS
3627,EXTENDED STAY AMERICA
3628,EXCALIBUR HOTEL AND CASINO
3629,DAN HOTELS
3630,EXTENDED STAY DELUXE
3631,SLEEP INNS
3632,PHOENICIAN
3633,RANK HOTELS
3634,SWISSOTEL
3635,RESO HOTELS
3636,SAROVA HOTELS
3637,RAMADA INNS & RAMADA LIMITED
3638,HOWARD JOHNSON
3639,MOUNT CHARLOTTE THISTLE
3640,HYATT HOTELS
3641,SOFITEL HOTELS
3642,NOVOTEL HOTELS
3643,STEIGENBERGER HOTELS
3644,ECONO LODGES
3645,QUEENS MOAT HOUSES
3646,SWALLOW HOTELS
3647,HUSA HOTELS
3648,DE VERE HOTELS
3649,RADISSON HOTELS
3650,RED ROOF INNS
3651,IMPERIAL LONDON HOTEL
3652,EMBASSY HOTELS
3653,PENTA HOTELS
3654,LOEWS HOTELS
3655,SCANDIC HOTELS
3656,SARA HOTELS
3657,OBEROI HOTELS
3658,NEW OTANI HOTELS
3659,TAJ HOTELS INTERNATIONAL
3660,KNIGHTS INNS
3661,METROPOLE HOTELS
3662,CIRCUS CIRCUS HOTEL AND CASINO
3663,HOTELES EL PRESIDENTE
3664,FLAG INN
3665,HAMPTON INNS
3666,STAKIS HOTELS
3667,LUXHOR HOTEL AND CASINO
3668,MARITIM HOTELS
3669,ELDORADO HOTEL AND CASINO
3670,ARCADE HOTELS
3671,ARCTIA HOTELS
3672,CAMPANILE HOTELS
3673,IBUSZ HOTELS
3674,RANTASIPI HOTELS
3675,INTERHOTEL CEDOK
3676,MONTE CARLO HOTEL AND CASINO
3677,CLIMAT DE FRANCE HOTELS
3678,CUMULUS HOTELS
3679,SILVER LEGACY HOTEL AND CASINO
3680,HOTEIS OTHAN
3681,ADAMS MARK HOTELS
3682,SAHARA HOTEL AND CASINO
3683,BRADBURY SUITES
3684,BUDGET HOST INNS
3685,BUDGETEL HOTELS
3686,SUSSE CHALET
3687,CLARION HOTELS
3688,COMPRI HOTELS
3689,CONSORT HOTELS
3690,COURTYARD BY MARRIOTT
3691,DILLON INNS
3692,DOUBLTREE HOTELS
3693,DRURY INNS
3694,ECONOMY INNS OF AMERICA
3695,EMBASSY SUITES
3696,EXEL INNS
3697,FAIRFIELD HOTELS
3698,HARLEY HOTELS
3699,MIDWAY MOTOR LODGE
3700,MOTEL 6
3701,LA MANSION DEL RIO
3702,REGISTRY HOTELS
3703,RESIDENCE INNS
3704,ROYCE HOTELS
3705,SANDMAN INNS
3706,SHILO INNS
3707,SHONEY'S INNS
3708,VIRGIN RIVER HOTEL AND CASINO
3709,SUPER 8 MOTELS
3710,THE RITZ CARLTON HOTELS
3711,FLAG INNS (AUSTRALIA)
3712,BUFFALO BILL'S HOTEL AND CASINO
3713,QUALITY PACIFIC HOTEL
3714,FOUR SEASONS HOTEL (AUSTRALIA)
3715,FAIRFIELD INN
3716,CARLTON HOTELS
3717,CITY LODGE HOTELS
3718,KAROS HOTELS
3719,PROTEA HOTELS
3720,SOUTHERN SUN HOTELS
3721,HILTON CONRAD
3722,WYNDHAM HOTEL & RESORTS
3723,RICA HOTELS
3724,INTER NOR HOTELS
3725,SEAPINES PLANTATION
3726,RIO SUITES
3727,BROADMOOR HOTEL
3728,BALLY'S HOTEL AND CASINO
3729,JOHN ASCUAGA'S NUGGET
3730,MGM GRAND HOTEL
3731,HARRAH'S HOTELS AND CASINOS
3732,OPRYLAND HOTEL
3733,BOCA RATON RESORT
3734,HAVERY/BRISTOL HOTEL
3735,MASTERS ECONOMY INNS
3736,COLORADO BELLE EDGEWATER RESORT
3737,RIVIERA HOTEL & CASINO
3738,TROPICANA RESORT & CASINO
3739,WOODSIDE HOTELS
3740,MARRIOTT/TOWNPLACE SUITES
3741,MILLENNIUM HOTELS
3742,CLUB MED
3743,BILTMORE HOTEL & SUITES
3744,CAREFREE RESORTS
3745,ST. REGIS HOTEL
3746,THE ELIOT HOTEL
3747,CLUBCORP/CLUB RESORTS
3748,WELLESLEY INNS
3749,THE BEVERLY HILLS HOTEL
3750,CROWNE PLAZA HOTEL
3751,HOMEWOOD SUITES
3752,PEABODY HOTELS
3753,GREENBRIAR RESORTS
3754,AMELIA ISLAND PLANTATION
3755,THE HOMESTEAD
3756,SOUTH SEAS RESORTS
3757,CANYON RANCH
3758,KAHALA MANDARIN ORIENTAL HOTEL
3759,ORCHID AT MAUNA LAI
3760,HALEKULANI HOTEL/WAIKIKI PARC
3761,PRIMADONNA HOTEL AND CASINO
3762,WHISKEY PETES HOTEL AND CASINO
3763,CHATEAU ELAN WINERY AND RESORT
3764,BEAU RIVAGE HOTEL AND CASINO
3765,BELLAGIO
3766,FREMONT HOTEL AND CASINO
3767,MAIN STREET STATION HOTEL AND CASINO
3768,SILVER STAR HOTEL AND CASINO
3769,STRATOSPHERE HOTEL AND CASINO
3770,SPRINGHILL SUITES
3771,CAESARS HOTEL AND CASINO
3772,NEMACOLIN WOODLANDS
3773,VENETIAN RESORT HOTEL AMD CASINO
3774,NEW YORK-NEW YORK HOTEL + CASINO
3775,SANDS RESORT
3776,NEVEL GRANDE RESORT AND COUNTRY CLUB
3777,MANDALAY BAY RESORT
3778,FOUR POINTS HOTELS
3779,W HOTELS
3780,DISNEY RESORTS
3781,PATRICIA GRAND RESORT HOTEL
3782,ROSEN HOTELS & RESORTS
3783,TOWN AND COUNTRY RESORT
3784,FIRST HOSPITALITY HOTELS
3785,OUTRIGGER HOTELS AND RESORTS
3786,OHANA HOTELS OF HAWAII
3787,CARIBE ROYALE RESORT SUITES & VILLAS
3788,ALA MOANA HOTEL
3789,SMUGGLERS NOTCH RESORT
3790,RAFFLES HOTEL
3791,STAYBRIDGE SUITES
3792,CLARIDGE CASINO HOTEL
3793,FLAMINGO HOTELS
3794,GRAND CASINO HOTEL
3795,PARIS LAS VEGAS HOTEL
3796,PEPPERMILL HOTEL CASINO
3797,ATLANTIC CITY HILTON
3798,EMBASSY VACATION RESORT
3799,HALE KOA RESORT
3800,HOMESTEAD SUITES
3801,WILDERNESS HOTEL AND RESORT
3802,THE PALACE HOTEL
3803,THE WIGWAM GOLF RESORT AND SPA
3804,THE DIPLOMAT COUNTRY CLUB AND SPA
3805,THE ATLANTIC
3806,PRINCEVILLE RESORT
3807,ELEMENT
3808,LXR (LUXURY RESORTS)
3809,SETTLE INN
3810,LA COSTA RESORT
3811,PREMIER TRAVEL INN
3812,HYATT PLACE
3813,HOTEL INDIGO
3814,THE ROOSEVELT HOTEL NY
3815,HOLIDAY INN NICKELODEON
3816,HOME2 SUITES
3817,AFFINIA
3818,MAINSTAY SUITES
3819,OXFORD SUITES
3820,JUMEIRAH ESSEX HOTEL
3821,CARIBE ROYALE
3822,CROSSLAND
3823,GRAND SIERRA RESORT
3824,ARIA
3825,VDARA
3826,AUTOGRAPH
3827,GALT HOUSE
3828,COSMOPOLITAN OF LAS VEGAS
3829,COUNTRY INN BY CARLSON
3830,PARK PLAZA HOTEL
3831,WALDORF
4011,RAILROADS
4111,"LOCAL/SUB COMMUTER PSGR TRNP, INCL FERRIES OR WATER TRNP"
4112,PASSENGER RAILWAYS
4119,AMBULANCE SERVICES
4121,TAXICABS OR LIMOUSINES
4131,"BUS LINES, INCLUDING CHARTERS, TOUR BUSES"
4214,"MOTOR FREIGHT CARRIERS, TRUCK-LOCAL/LONG"
4215,"COURIER SERVICES-AIR OR GROUND, FREIGHT"
4225,"PUBLIC WAREHOUSING-FARM PROD,REFRIDGERAT"
4411,CRUISE OR STEAMSHIP LINES
4457,BOAT RENTALS AND LEASES
4468,"MARINAS, MARINE SERVICE AND SUPPLIES"
4511,"AIRLINES, AIR CARRIERS (NOT LISTED BELOW)"
4582,"AIRPORTS, AIRPORT TERMINALS OR FLYING FIELDS"
4722,TRAVEL AGENCIES
4723,PACKAGE TOUR OPERATORS - GERMANY ONLY
4761,TRANSPORTATION/TRAVEL-RELATED ARRANGEMENT
4784,"TOLLS, ROAD AND BRIDGE FEES"
4789,TRANSPORTATION SERVICES (NEC)
4812,TELECOMMUNCATIONS EQUIPMENT INCLUDING TELEPHONE SALES
4813,KEY-ENTERED TELECOM MERCHANT
4814,TELECOMMUNCATIONS SERV INCL LOCA/LONG DIST CREDIT & FAX
4815,MONTHLY SUMMARY TELEPHONE CHARGES
4816,COMPUTER NETWORK/INFO SVCS
4821,TELEGRAPH SERVICES
4829,MONEY ORDERS -- WIRE TRANSFER
4899,CABLE AND OTHER PAY TELEVISION SERVICES
4900,"ELECTRIC, GAS, SANITARY, TELEPHONE OR WATER UTILITIES"
5013,MOTOR VEHICLE SUPPLIES AND NEW PARTS
5021,COMMERCIAL FURNITURE
5039,CONSTRUCTION MATERIALS (NEC)
5044,"PHOTOGRAPHIC, PHOTOCOPY, MICROFILM EQUIPMENT AND SUPPLIES"
5045,COMPUTERS AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE
5046,COMMERCIAL EQUIPMENT (NEC)
5047,"MEDICAL, DENTAL, OPHTHALMIC AND HOSPITAL EQUIP"
5051,METAL SERVICE CENTERS AND OFFICES
5065,ELECTRICAL PARTS AND EQUIPMENT
5072,"HARDWARE, PLUMBING, HEATING EQUIPMENT AND SUPPLIES"
5074,PLUMBING AND HEATING EQUIPMENT AND SUPPLIES
5085,INDUSTRIAL SUPPLIES (NEC)
5094,"PRECIOUS STONES AND METALS, WATCHES AND JEWELRY"
5099,DURABLE GOODS (NEC)
5111,"STATIONERY, OFFICE SUPPLIES, PRINTING AND WRITING PAPER"
5122,"DRUGS, DRUG PROPRIETARIES AND DRUGGIST SUNDRIES"
5131,"PIECE GOODS, NOTIONS, AND OTHER DRY GOODS"
5137,"MEN'S, WOMEN'S AND CHILDREN'S UNIFORMS"
5139,COMMERCIAL FOOTWEAR
5169,CHEMICALS AND ALLIED PRODUCTS (NEC)
5172,PETROLEUM AND PETROLEUM PRODUCTS
5192,"BOOKS, PERIODICALS AND NEWSPAPERS"
5193,"FLORIST SUPPLIES, NURSERY STOCK AND FLOWERS"
5198,"PAINTS, VARNISHES AND SUPPLIES"
5199,NON-DURABLE GOODS (NEC)
5200,HOME SUPPLY WAREHOUSE STORES
5211,LUMBER AND BUILDING MATERIALS STORES
5231,"GLASS, PAINT OR WALLPAPER STORES"
5251,HARDWARE STORES
5261,GARDEN AND LAWN SUPPLY STORES OR NURSERIES
5271,MOBILE HOME DEALERS
5299,WAREHOUSE CLUB GAS
5300,WHOLESALE CLUBS
5309,DUTY FREE STORES
5310,DISCOUNT STORES
5311,DEPARTMENT STORES
5331,VARIETY STORES
5399,GENERAL MERCHANDISE OR CONVENIENCE FOOD STORES
5411,GROCERY STORES OR SUPERMARKETS
5422,FREEZER AND LOCKER MEAT PROVISIONERS
5441,"CANDY, CONFECTIONERY OR NUTS STORES"
5451,DAIRY PRODUCTS STORES
5462,BAKERIES
5499,MISC FOOD STORES - SPECIALTY MARKETS & CONVENIENCE
5511,AUTO/TRUCK DEALERS NEW/USED SALE REPAIR PARTS & LEASE
5521,AUTOMOBILE AND TRUCK DEALERS (USED ONLY)
5531,AUTOMOBILE SUPPLY STORES OR HOME SUPPLY STORES
